deal_id,company,industry,sales_rep,lead_source,deal_stage,deal_value,probability,created_date,expected_close_date,actual_close_date,status
DEAL-0001,Company 1,Finance,Arjun,LinkedIn,Proposal,1742743,0.5,2025-04-13,2025-08-08,,Open
DEAL-0002,Company 2,Healthcare,Ananya,Cold Call,Qualification,4094887,0.25,2026-04-04,2026-07-31,,Open
DEAL-0003,Company 3,Retail,Vikram,Website,Closed Lost,1816891,0.0,2025-12-10,2026-05-03,2026-05-03,Lost
DEAL-0004,Company 4,Technology,Arjun,LinkedIn,Proposal,1446025,0.5,2026-04-05,2026-07-17,,Open
DEAL-0005,Company 5,Manufacturing,Ananya,Partner,Prospecting,3580409,0.1,2026-05-26,2026-06-24,,Open
DEAL-0006,Company 6,Education,Arjun,Cold Call,Closed Lost,2466182,0.0,2026-07-17,2026-12-09,2026-12-09,Lost
DEAL-0007,Company 7,Finance,Vikram,Referral,Closed Lost,3466664,0.0,2025-06-16,2025-07-09,2025-07-09,Lost
DEAL-0008,Company 8,Healthcare,Ananya,Website,Proposal,3447723,0.5,2025-12-06,2025-12-28,,Open
DEAL-0009,Company 9,Manufacturing,Priya,Email Campaign,Closed Won,1823415,1.0,2026-07-16,2026-12-11,2026-12-11,Won
DEAL-0010,Company 10,Finance,Priya,Partner,Closed Won,3634702,1.0,2026-04-22,2026-06-19,2026-06-19,Won
DEAL-0011,Company 11,Education,Vikram,Referral,Closed Lost,3097262,0.0,2025-09-27,2025-11-20,2025-11-20,Lost
DEAL-0012,Company 12,Education,Rahul,Cold Call,Qualification,3544679,0.25,2025-02-22,2025-07-10,,Open
DEAL-0013,Company 13,Technology,Sneha,LinkedIn,Prospecting,1475472,0.1,2025-01-15,2025-02-07,,Open
DEAL-0014,Company 14,Healthcare,Vikram,Referral,Negotiation,1787095,0.75,2026-05-14,2026-06-30,,Open
DEAL-0015,Company 15,Technology,Sneha,Referral,Prospecting,2998089,0.1,2025-08-19,2026-01-15,,Open
DEAL-0016,Company 16,Education,Arjun,Email Campaign,Qualification,4595583,0.25,2025-02-02,2025-04-19,,Open
DEAL-0017,Company 17,Technology,Vikram,Referral,Prospecting,541234,0.1,2026-07-01,2026-11-23,,Open
DEAL-0018,Company 18,Finance,Priya,Email Campaign,Proposal,947421,0.5,2026-05-18,2026-10-16,,Open
DEAL-0019,Company 19,Education,Sneha,Partner,Prospecting,2400770,0.1,2026-04-06,2026-06-11,,Open
DEAL-0020,Company 20,Retail,Vikram,LinkedIn,Proposal,3922998,0.5,2026-04-30,2026-06-12,,Open
DEAL-0021,Company 21,Manufacturing,Rahul,Cold Call,Closed Won,4624293,1.0,2025-08-31,2025-10-29,2025-10-29,Won
DEAL-0022,Company 22,Finance,Sneha,Website,Proposal,4444539,0.5,2025-01-28,2025-04-27,,Open
DEAL-0023,Company 23,Healthcare,Ananya,Website,Prospecting,2534413,0.1,2025-08-19,2026-01-01,,Open
DEAL-0024,Company 24,Technology,Ananya,Cold Call,Prospecting,4743350,0.1,2025-09-16,2026-03-04,,Open
DEAL-0025,Company 25,Healthcare,Ananya,Website,Qualification,3162754,0.25,2025-08-13,2026-01-26,,Open
DEAL-0026,Company 26,Retail,Ananya,Referral,Closed Lost,1936013,0.0,2025-04-23,2025-06-28,2025-06-28,Lost
DEAL-0027,Company 27,Healthcare,Rahul,Referral,Prospecting,466880,0.1,2026-01-22,2026-04-27,,Open
DEAL-0028,Company 28,Healthcare,Ananya,Referral,Prospecting,3045765,0.1,2025-08-08,2025-12-29,,Open
DEAL-0029,Company 29,Retail,Arjun,LinkedIn,Closed Lost,2272809,0.0,2025-02-22,2025-08-15,2025-08-15,Lost
DEAL-0030,Company 30,Finance,Ananya,Partner,Qualification,1791093,0.25,2026-02-05,2026-06-15,,Open
DEAL-0031,Company 31,Healthcare,Ananya,Cold Call,Closed Won,1965631,1.0,2026-05-26,2026-10-11,2026-10-11,Won
DEAL-0032,Company 32,Retail,Sneha,Website,Proposal,960681,0.5,2026-02-07,2026-07-18,,Open
DEAL-0033,Company 33,Manufacturing,Priya,LinkedIn,Negotiation,3495376,0.75,2026-07-05,2026-12-17,,Open
DEAL-0034,Company 34,Technology,Priya,Website,Closed Won,4889567,1.0,2025-09-20,2025-12-03,2025-12-03,Won
DEAL-0035,Company 35,Healthcare,Rahul,Website,Closed Won,2522189,1.0,2025-10-31,2025-12-21,2025-12-21,Won
DEAL-0036,Company 36,Retail,Ananya,Website,Negotiation,4942306,0.75,2025-04-09,2025-09-01,,Open
DEAL-0037,Company 37,Retail,Ananya,LinkedIn,Prospecting,428480,0.1,2026-08-10,2026-12-06,,Open
